"id","Protein","Pathway","Metabolism"
"K16439","Reductase EvaE","Biosynthesis of vancomycin group antibiotics","Metabolism of terpenoids and polyketides"
"K16514","4-oxalomesaconate tautomerase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K16515","4-oxalomesaconate hydratase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K16593","Pimeloyl-[acyl-carrier protein] synthase","Biotin metabolism","Metabolism of cofactors and vitamins"
"K16619","Phospholipase C / alpha-toxin","Inositol phosphate metabolism","Carbohydrate metabolism"
"K16649","Rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase","Arabinogalactan biosynthesis - Mycobacterium","Glycan biosynthesis and metabolism"
"K16650","Galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase","Arabinogalactan biosynthesis - Mycobacterium","Glycan biosynthesis and metabolism"
"K16792","Methanogen homoaconitase large subunit","Methane metabolism","Energy metabolism"
"K16793","Methanogen homoaconitase small subunit","Methane metabolism","Energy metabolism"
"K16838","Urate oxidase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase","Purine metabolism","Nucleotide metabolism"
"K16839","FAD-dependent urate hydroxylase","Purine metabolism","Nucleotide metabolism"
"K16840","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase","Purine metabolism","Nucleotide metabolism"
"K16841","Allantoin racemase","Purine metabolism","Nucleotide metabolism"
"K16842","Allantoinase","Purine metabolism","Nucleotide metabolism"
"K16843","(S)-sulfolactate dehydrogenase","Cysteine and methionine metabolism","Amino acid metabolism"
"K16844","(2R)-3-sulfolactate dehydrogenase (NADP+)","Cysteine and methionine metabolism","Amino acid metabolism"
"K16845","(2R)-sulfolactate sulfo-lyase subunit alpha","Cysteine and methionine metabolism","Amino acid metabolism"
"K16846","(2R)-sulfolactate sulfo-lyase subunit beta","Cysteine and methionine metabolism","Amino acid metabolism"
"K16849","Altronate dehydratase small subunit","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K16850","Altronate dehydratase large subunit","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K16856","Ureidoglycolate lyase","Purine metabolism","Nucleotide metabolism"
"K16870","N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase","Arabinogalactan biosynthesis - Mycobacterium","Glycan biosynthesis and metabolism"
"K16871","4-aminobutyrate---pyruvate transaminase","Butanoate metabolism","Carbohydrate metabolism"
"K16873","5-(hydroxymethyl)furfural/furfural oxidase","Furfural degradation","Xenobiotics biodegradation and metabolism"
"K16876","2-furoate---CoA ligase","Furfural degradation","Xenobiotics biodegradation and metabolism"
"K16877","2-furoyl-CoA dehydrogenase large subunit","Furfural degradation","Xenobiotics biodegradation and metabolism"
"K16878","2-furoyl-CoA dehydrogenase FAD binding subunit","Furfural degradation","Xenobiotics biodegradation and metabolism"
"K16879","2-furoyl-CoA dehydrogenase 2Fe-2S iron sulfur subunit","Furfural degradation","Xenobiotics biodegradation and metabolism"
"K16880","2-oxoglutaroyl-CoA hydrolase","Furfural degradation","Xenobiotics biodegradation and metabolism"
"K16881","Mannose-1-phosphate guanylyltransferase / phosphomannomutase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K16901","Anthranilate 3-monooxygenase (FAD) / 4-hydroxyphenylacetate 3-monooxygenase","Tyrosine metabolism","Amino acid metabolism"
"K16902","FAD reductase [NAD(P)H]","Tyrosine metabolism","Amino acid metabolism"
"K16936","Thiosulfate dehydrogenase (quinone) small subunit","Sulfur metabolism","Energy metabolism"
"K16937","Thiosulfate dehydrogenase (quinone) large subunit","Sulfur metabolism","Energy metabolism"
"K16950","Anaerobic sulfite reductase subunit A","Sulfur metabolism","Energy metabolism"
"K16951","Anaerobic sulfite reductase subunit B","Sulfur metabolism","Energy metabolism"
"K16952","Sulfur oxygenase/reductase","Sulfur metabolism","Energy metabolism"
"K16953","Dimethylpropiothetin dethiomethylase","Sulfur metabolism","Energy metabolism"
"K16954","Methylthiol:coenzyme M methyltransferase","Sulfur metabolism","Energy metabolism"
"K16955","Methylated-thiol--corrinoid protein","Sulfur metabolism","Energy metabolism"
"K16964","Dimethylsulfide dehydrogenase subunit alpha","Sulfur metabolism","Energy metabolism"
"K16965","Dimethylsulfide dehydrogenase subunit beta","Sulfur metabolism","Energy metabolism"
"K16966","Dimethylsulfide dehydrogenase subunit gamma","Sulfur metabolism","Energy metabolism"
"K16968","Methanesulfonate monooxygenase subunit alpha","Sulfur metabolism","Energy metabolism"
"K16969","Methanesulfonate monooxygenase subunit beta","Sulfur metabolism","Energy metabolism"
"K17048","Ethylbenzene hydroxylase subunit beta","Ethylbenzene degradation","Xenobiotics biodegradation and metabolism"
"K17049","Ethylbenzene hydroxylase subunit gamma","Ethylbenzene degradation","Xenobiotics biodegradation and metabolism"
"K17067","Formaldehyde dismutase / methanol dehydrogenase","Methane metabolism","Energy metabolism"
"K17103","CDP-diacylglycerol---serine O-phosphatidyltransferase","Glycerophospholipid metabolism","Lipid metabolism"
"K17108","Non-lysosomal glucosylceramidase","Sphingolipid metabolism","Lipid metabolism"
"K17195","D-allulose-6-phosphate 3-epimerase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K17216","Cystathionine beta-synthase (O-acetyl-L-serine)","Cysteine and methionine metabolism","Amino acid metabolism"
"K17217","Cystathionine gamma-lyase / homocysteine desulfhydrase","Sulfur metabolism","Energy metabolism"
"K17219","Sulfur reductase molybdopterin subunit","Sulfur metabolism","Energy metabolism"
"K17220","Sulfur reductase FeS subunit","Sulfur metabolism","Energy metabolism"
"K17221","Sulfur reductase membrane anchor","Sulfur metabolism","Energy metabolism"
"K17222","L-cysteine S-thiosulfotransferase","Sulfur metabolism","Energy metabolism"
"K17223","L-cysteine S-thiosulfotransferase","Sulfur metabolism","Energy metabolism"
"K17224","S-sulfosulfanyl-L-cysteine sulfohydrolase","Sulfur metabolism","Energy metabolism"
"K17225","Sulfane dehydrogenase subunit SoxC","Sulfur metabolism","Energy metabolism"
"K17226","Sulfur-oxidizing protein SoxY","Sulfur metabolism","Energy metabolism"
"K17227","Sulfur-oxidizing protein SoxZ","Sulfur metabolism","Energy metabolism"
"K17228","Dimethylsulfone monooxygenase","Sulfur metabolism","Energy metabolism"
"K17229","Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain","Sulfur metabolism","Energy metabolism"
"K17230","Cytochrome subunit of sulfide dehydrogenase","Sulfur metabolism","Energy metabolism"
"K17285","Methanethiol oxidase","Sulfur metabolism","Energy metabolism"
"K17398","DNA (cytosine-5)-methyltransferase 3A","Cysteine and methionine metabolism","Amino acid metabolism"
"K17462","Putative AdoMet-dependent methyltransferase","Cysteine and methionine metabolism","Amino acid metabolism"
"K17463","2-dehydro-3-deoxy-phosphogluconate aldolase","Pentose phosphate pathway","Carbohydrate metabolism"
"K17476","Pentalenolactone synthase","Biosynthesis of various secondary metabolites - part 1","Biosynthesis of other secondary metabolites"
"K17486","Dimethylsulfoniopropionate demethylase","Sulfur metabolism","Energy metabolism"
"K17487","7,8-dihydroneopterin 2',3'-cyclic phosphate phosphodiesterase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K17488","GTP cyclohydrolase IV","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K17625","DTDP-4-keto-6-deoxyhexose reductase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K17716","UDP-glucose 4-epimerase","Galactose metabolism","Carbohydrate metabolism"
"K17717","Phospholipase D","Glycerophospholipid metabolism","Lipid metabolism"
"K17722","Dihydropyrimidine dehydrogenase (NAD+) subunit PreT","Pyrimidine metabolism","Nucleotide metabolism"
"K17723","Dihydropyrimidine dehydrogenase (NAD+) subunit PreA","Pyrimidine metabolism","Nucleotide metabolism"
"K17743","D-xylose reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K17744","L-galactose dehydrogenase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K17745","Sepiapterin reductase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K17747","1-deoxy-11beta-hydroxypentalenate dehydrogenase","Biosynthesis of various secondary metabolites - part 1","Biosynthesis of other secondary metabolites"
"K17748","Benzylmalate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K17749","3-benzylmalate isomerase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K17750","3-benzylmalate dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K17753","Isocitrate--homoisocitrate dehydrogenase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K17755","Choline oxidase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K17818","D-arabinitol dehydrogenase (NADP+)","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K17828","Dihydroorotate dehydrogenase (NAD+) catalytic subunit","Pyrimidine metabolism","Nucleotide metabolism"
"K17829","Crotonyl-CoA reductase","Butanoate metabolism","Carbohydrate metabolism"
"K17865","3-hydroxybutyryl-CoA dehydratase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K17872","Demethylphylloquinone reductase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K17898","D-ornithine 4,5-aminomutase subunit beta","D-Arginine and D-ornithine metabolism","Metabolism of other amino acids"
"K17899","D-ornithine 4,5-aminomutase subunit alpha","D-Arginine and D-ornithine metabolism","Metabolism of other amino acids"
"K17939","GDP-perosamine N-acetyltransferase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K17942","Phosphomevalonate decarboxylase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K17950","L-cysteate sulfo-lyase","Cysteine and methionine metabolism","Amino acid metabolism"
"K17989","L-serine/L-threonine ammonia-lyase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K18011","Beta-lysine 5,6-aminomutase beta subunit","Lysine degradation","Amino acid metabolism"
"K18012","L-erythro-3,5-diaminohexanoate dehydrogenase","Lysine degradation","Amino acid metabolism"
"K18013","3-keto-5-aminohexanoate cleavage enzyme","Lysine degradation","Amino acid metabolism"
"K18014","3-aminobutyryl-CoA ammonia-lyase","Lysine degradation","Amino acid metabolism"
"K18020","Glyceraldehyde dehydrogenase large subunit","Pentose phosphate pathway","Carbohydrate metabolism"
"K18021","Glyceraldehyde dehydrogenase medium subunit","Pentose phosphate pathway","Carbohydrate metabolism"
"K18022","Glyceraldehyde dehydrogenase small subunit","Pentose phosphate pathway","Carbohydrate metabolism"
"K18028","2,5-dihydroxypyridine 5,6-dioxygenase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K18029","Nicotinate dehydrogenase subunit A","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K18030","Nicotinate dehydrogenase subunit B","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K18049","Methylphosphonate synthase","Phosphonate and phosphinate metabolism","Metabolism of other amino acids"
"K18056","1-deoxypentalenic acid 11beta-hydroxylase","Biosynthesis of various secondary metabolites - part 1","Biosynthesis of other secondary metabolites"
"K18057","Pentalenolactone F synthase","Biosynthesis of various secondary metabolites - part 1","Biosynthesis of other secondary metabolites"
"K18062","Cephamycin C biosynthesis protein","Penicillin and cephalosporin biosynthesis","Biosynthesis of other secondary metabolites"
"K18067","Phthalate 4,5-cis-dihydrodiol dehydrogenase","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18068","Phthalate 4,5-dioxygenase","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18069","Phthalate 4,5-dioxygenase reductase component","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18074","Terephthalate 1,2-dioxygenase oxygenase component alpha subunit","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18075","Terephthalate 1,2-dioxygenase oxygenase component beta subunit","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18076","1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18077","Terephthalate 1,2-dioxygenase reductase component","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18087","Biphenyl 2,3-dioxygenase ferredoxin component","Dioxin degradation","Xenobiotics biodegradation and metabolism"
"K18088","Biphenyl 2,3-dioxygenase ferredoxin reductase component","Dioxin degradation","Xenobiotics biodegradation and metabolism"
"K18089","Benzene/toluene/chlorobenzene dioxygenase ferredoxin component","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K18090","Benzene/toluene/chlorobenzene dioxygenase ferredoxin reductase component","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K18091","Pentalenolactone D synthase","Biosynthesis of various secondary metabolites - part 1","Biosynthesis of other secondary metabolites"
"K18092","2-hydroxy-6-oxo-octa-2,4-dienoate hydrolase","Ethylbenzene degradation","Xenobiotics biodegradation and metabolism"
"K18106","D-galacturonate reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K18118","Succinyl-CoA:acetate CoA-transferase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K18119","Succinate-semialdehyde dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K18120","4-hydroxybutyrate dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K18121","Glyoxylate/succinic semialdehyde reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K18122","4-hydroxybutyrate CoA-transferase","Butanoate metabolism","Carbohydrate metabolism"
"K18123","4-hydroxy-2-oxoglutarate aldolase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K18124","Glucose/galactose 1-dehydrogenase (NADP+)","Pentose phosphate pathway","Carbohydrate metabolism"
"K18125","Aldose 1-dehydrogenase [NAD(P)+]","Pentose phosphate pathway","Carbohydrate metabolism"
"K18126","2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase","Pentose phosphate pathway","Carbohydrate metabolism"
"K18127","2-dehydro-3-deoxy-D-gluconate aldolase","Pentose phosphate pathway","Carbohydrate metabolism"
"K18128","D-glyceraldehyde dehydrogenase (NADP+)","Pentose phosphate pathway","Carbohydrate metabolism"
"K18151","Ureidoglycolate amidohydrolase","Purine metabolism","Nucleotide metabolism"
"K18153","NAD+ glycohydrolase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K18209","Fumarate reductase (CoM/CoB) subunit A","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18210","Fumarate reductase (CoM/CoB) subunit B","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18223","Propane 2-monooxygenase large subunit","Propanoate metabolism","Carbohydrate metabolism"
"K18224","Propane 2-monooxygenase small subunit","Propanoate metabolism","Carbohydrate metabolism"
"K18225","Propane monooxygenase reductase component","Propanoate metabolism","Carbohydrate metabolism"
"K18226","Propane monooxygenase coupling protein","Propanoate metabolism","Carbohydrate metabolism"
"K18227","P-cumate 2,3-dioxygenase ferredoxin reductase component","Xylene degradation","Xenobiotics biodegradation and metabolism"
"K18240","Chorismate lyase / 3-hydroxybenzoate synthase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K18242","Salicylate 5-hydroxylase large subunit","Naphthalene degradation","Xenobiotics biodegradation and metabolism"
"K18243","Salicylate 5-hydroxylase small subunit","Naphthalene degradation","Xenobiotics biodegradation and metabolism"
"K18248","Anthranilate 1,2-dioxygenase ferredoxin component","Aminobenzoate degradation","Xenobiotics biodegradation and metabolism"
"K18249","Anthranilate 1,2-dioxygenase ferredoxin reductase component","Aminobenzoate degradation","Xenobiotics biodegradation and metabolism"
"K18251","Phthalate 3,4-dioxygenase subunit alpha","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18252","Phthalate 3,4-dioxygenase subunit beta","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18253","Phthalate 3,4-dioxygenase ferredoxin component","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18254","Phthalate 3,4-dioxygenase ferredoxin reductase component","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18255","Phthalate 3,4-cis-dihydrodiol dehydrogenase","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18256","3,4-dihydroxyphthalate decarboxylase","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18257","Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase","Polycyclic aromatic hydrocarbon degradation","Xenobiotics biodegradation and metabolism"
"K18276","6-hydroxy-3-succinoylpyridine 3-monooxygenase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K18277","Trimethylamine monooxygenase","Methane metabolism","Energy metabolism"
"K18282","Cyanide dihydratase","Cyanoamino acid metabolism","Metabolism of other amino acids"
"K18284","Adenosylhomocysteine/aminodeoxyfutalosine nucleosidase","Cysteine and methionine metabolism","Amino acid metabolism"
"K18288","Itaconate CoA-transferase","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K18289","Itaconate CoA-transferase","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K18290","Itaconyl-CoA hydratase","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K18291","Itaconyl-CoA hydratase / mesaconyl-C4 CoA hydratase","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K18292","(S)-citramalyl-CoA lyase","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K18293","P-cymene methyl-monooxygenase electron transfer component","Xylene degradation","Xenobiotics biodegradation and metabolism"
"K18310","Beta-citrylglutamate/N-acetylaspartylglutamate synthase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K18312","Styrene-oxide isomerase","Styrene degradation","Xenobiotics biodegradation and metabolism"
"K18315","(5R)-carbapenem-3-carboxylate synthase","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18316","Carbapenam-3-carboxylate synthase","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18317","Carboxymethylproline synthase","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18318","Carbapenem biosynthesis protein, putative proline dehydrogenase","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18319","Carbapenem biosynthesis protein CpmE","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18333","L-fucose dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K18334","L-fuconate dehydratase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K18335","2-keto-3-deoxy-L-fuconate dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K18336","2,4-didehydro-3-deoxy-L-rhamnonate hydrolase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K18337","L-rhamnose 1-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K18355","Phenylglyoxylate dehydrogenase alpha subunit","Phenylalanine metabolism","Amino acid metabolism"
"K18356","Phenylglyoxylate dehydrogenase beta subunit","Phenylalanine metabolism","Amino acid metabolism"
"K18357","Phenylglyoxylate dehydrogenase gamma subunit","Phenylalanine metabolism","Amino acid metabolism"
"K18358","Phenylglyoxylate dehydrogenase delta subunit","Phenylalanine metabolism","Amino acid metabolism"
"K18359","Phenylglyoxylate dehydrogenase epsilon subunit","Phenylalanine metabolism","Amino acid metabolism"
"K18360","Phenylacetyl-CoA:acceptor oxidoreductase accessory protein","Phenylalanine metabolism","Amino acid metabolism"
"K18361","Phenylacetyl-CoA:acceptor oxidoreductase","Phenylalanine metabolism","Amino acid metabolism"
"K18362","Phenylacetyl-CoA:acceptor oxidoreductase 27-kDa subunit","Phenylalanine metabolism","Amino acid metabolism"
"K18363","Phenylacetyl-CoA:acceptor oxidoreductase 26-kDa subunit","Phenylalanine metabolism","Amino acid metabolism"
"K18364","2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K18365","4-hydroxy-2-oxovalerate/4-hydroxy-2-oxohexanoate aldolase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K18366","Acetaldehyde/propanal dehydrogenase","Pyruvate metabolism","Carbohydrate metabolism"
"K18369","Alcohol dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K18370","Alcohol dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K18371","Acetone monooxygenase (methyl acetate-forming)","Propanoate metabolism","Carbohydrate metabolism"
"K18372","Methyl acetate hydrolase","Propanoate metabolism","Carbohydrate metabolism"
"K18382","NAD+-dependent secondary alcohol dehydrogenase Adh1","Propanoate metabolism","Carbohydrate metabolism"
"K18383","Feruloyl-CoA hydratase/lyase","Biosynthesis of various secondary metabolites - part 2","Biosynthesis of other secondary metabolites"
"K18429","GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing)","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K18430","N,N'-diacetyllegionaminate synthase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K18431","CMP-N,N'-diacetyllegionaminic acid synthase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K18471","Methylglyoxal reductase","Propanoate metabolism","Carbohydrate metabolism"
"K18472","Acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit","Pyruvate metabolism","Carbohydrate metabolism"
"K18473","Acetoacetyl-[acyl-carrier protein] synthase","Fatty acid biosynthesis","Lipid metabolism"
"K18534","MPBQ/MSBQ methyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K18556","NADH-dependent fumarate reductase subunit A","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18557","NADH-dependent fumarate reductase subunit B","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18558","NADH-dependent fumarate reductase subunit C","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18562","2-oxoglutarate-dependent dioxygenase","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18582","Carbapenam-3-carboxylate synthase","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18583","Carboxymethylproline synthase","Carbapenem biosynthesis","Biosynthesis of other secondary metabolites"
"K18589","Dihydrofolate reductase (trimethoprim resistance protein)","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K18590","Dihydrofolate reductase (trimethoprim resistance protein)","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K18591","Dihydrofolate reductase (trimethoprim resistance protein)","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K18593","4-hydroxybutyrate---CoA ligase (ADP-forming)","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18594","3-hydroxypropionyl-CoA synthetase (ADP-forming)","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18602","Malonic semialdehyde reductase","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18603","Acetyl-CoA/propionyl-CoA carboxylase","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18604","Acetyl-CoA/propionyl-CoA carboxylase","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18605","Biotin carboxyl carrier protein","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18607","Pyridoxine 4-oxidase","Vitamin B6 metabolism","Metabolism of cofactors and vitamins"
"K18649","Inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K18652","Glucose-6-phosphate 3-dehydrogenase","Biosynthesis of various secondary metabolites - part 2","Biosynthesis of other secondary metabolites"
"K18653","3-dehydro-glucose-6-phosphate---glutamate transaminase","Biosynthesis of various secondary metabolites - part 2","Biosynthesis of other secondary metabolites"
"K18654","Kanosamine-6-phosphate phosphatase","Biosynthesis of various secondary metabolites - part 2","Biosynthesis of other secondary metabolites"
"K18660","Malonyl-CoA/methylmalonyl-CoA synthetase","Fatty acid biosynthesis","Lipid metabolism"
"K18661","Malonyl-CoA/methylmalonyl-CoA synthetase","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K18662","Malonyl-CoA/methylmalonyl-CoA synthetase","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K18675","N,N'-diacetylchitobiose phosphorylase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K18676","Glucosamine kinase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K18677","Galacturonokinase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K18687","HIP---CoA ligase","Steroid degradation","Xenobiotics biodegradation and metabolism"
"K18689","Mevalonate-3-kinase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K18690","Mevalonate-3-phosphate-5-kinase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K18800","2-polyprenylphenol 6-hydroxylase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K18818","Mannosylglycerate synthase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K18824","Dihydropteroate synthase type 2","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K18825","Dihydropteroate synthase type 3","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K18836","Reductase VcaE","Biosynthesis of vancomycin group antibiotics","Metabolism of terpenoids and polyketides"
"K18851","Diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K18859","Succinate dehydrogenase / fumarate reductase, subunit D","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K18860","Putative succinate dehydrogenase / fumarate reductase, subunit D","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K18861","4-hydroxybutyrate---CoA ligase (AMP-forming)","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K18896","Glycine/sarcosine N-methyltransferase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K18897","Sarcosine/dimethylglycine N-methyltransferase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K18911","L-histidine Nalpha-methyltransferase","Histidine metabolism","Amino acid metabolism"
"K18912","Gamma-glutamyl hercynylcysteine S-oxide synthase","Histidine metabolism","Amino acid metabolism"
"K18913","Hercynylcysteine S-oxide lyase","Histidine metabolism","Amino acid metabolism"
"K18933","Tyrosine decarboxylase / aspartate 1-decarboxylase","Methane metabolism","Energy metabolism"
"K18966","Sulfinoalanine decarboxylase / aspartate 1-decarboxylase","beta-Alanine metabolism","Metabolism of other amino acids"
"K18974","Dihydropteroate synthase type 1","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K18978","Glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+]","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K18981","Uronate dehydrogenase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K18982","D-galactarolactone isomerase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K18983","D-galactarolactone cycloisomerase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K19002","1,2-diacylglycerol 3-alpha-glucosyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K19003","1,2-diacylglycerol 3-beta-glucosyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K19004","Processive 1,2-diacylglycerol beta-glycosyltransferase","Glycerolipid metabolism","Lipid metabolism"
