"id","Protein","Pathway","Metabolism"
"K07535","2-hydroxycyclohexanecarboxyl-CoA dehydrogenase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K07536","2-ketocyclohexanecarboxyl-CoA hydrolase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K07537","Cyclohexa-1,5-dienecarbonyl-CoA hydratase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K07538","6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K07539","6-oxocyclohex-1-ene-carbonyl-CoA hydrolase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K07540","Benzylsuccinate synthase","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07543","Benzylsuccinate CoA-transferase BbsE subunit","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07544","Benzylsuccinate CoA-transferase BbsF subunit","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07545","(R)-benzylsuccinyl-CoA dehydrogenase","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07546","E-phenylitaconyl-CoA hydratase","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07547","2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07548","2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsD subunit","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07549","Benzoylsuccinyl-CoA thiolase BbsA subunit","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07550","Benzoylsuccinyl-CoA thiolase BbsB subunit","Toluene degradation","Xenobiotics biodegradation and metabolism"
"K07732","Riboflavin kinase, archaea type","Riboflavin metabolism","Metabolism of cofactors and vitamins"
"K07751","PepB aminopeptidase","Glutathione metabolism","Metabolism of other amino acids"
"K07806","UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K07811","Trimethylamine-N-oxide reductase (cytochrome c)","Methane metabolism","Energy metabolism"
"K07812","Trimethylamine-N-oxide reductase (cytochrome c)","Methane metabolism","Energy metabolism"
"K07821","Trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY","Methane metabolism","Energy metabolism"
"K07824","Benzoate 4-monooxygenase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K07964","Heparanase","Glycosaminoglycan degradation","Glycan biosynthesis and metabolism"
"K08081","Tropinone reductase I","Tropane, piperidine and pyridine alkaloid biosynthesis","Biosynthesis of other secondary metabolites"
"K08088","Fimbrial regulator","Transcription factors","Protein families: genetic information processing"
"K08092","3-dehydro-L-gulonate 2-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K08093","3-hexulose-6-phosphate synthase","Pentose phosphate pathway","Carbohydrate metabolism"
"K08094","6-phospho-3-hexuloisomerase","Pentose phosphate pathway","Carbohydrate metabolism"
"K08096","GTP cyclohydrolase IIa","Riboflavin metabolism","Metabolism of cofactors and vitamins"
"K08097","Phosphosulfolactate synthase","Methane metabolism","Energy metabolism"
